player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
6730,Mohsin Khan,Left hand Bat,Left arm Medium fast,NULL,Mohsin Khan,Mohsin Khan,
22,Rashid Khan,Right hand Bat,Legbreak Googly, ,Rashid Khan Arman,Rashid Khan,https://www.espncricinfo.com/cricketers/rashid-khan-793463
590,K Rabada,Left hand Bat,Right arm Fast, ,Kagiso Rabada,Kagiso Rabada,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Kagiso%20Rabada.png
1424,SN Khan,Right hand Bat,Legbreak, ,Sarfaraz Naushad Khan,Sarfaraz Naushad,
963,MN Samuels,Right hand Bat,Right arm Offbreak, ,Marlon Nathaniel Samuels,Marlon Nathaniel,
53,SB Jakati,Left hand Bat,Slow Left arm Orthodox, ,Shadab Bashir Jakati,Shadab Bashir,
12,DA Warner,Left hand Bat,Legbreak, ,David Andrew Warner,David Andrew,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/David%20Warner.png
73,MP Stoinis,Right hand Bat,Right arm Medium, ,Marcus Peter Stoinis,Marcus Peter,
1119,R Tewatia,Left hand Bat,Legbreak, ,Rahul Tewatia,Rahul Tewatia,https://www.espncricinfo.com/cricketers/rahul-tewatia-423838
268,RA Tripathi,Right hand Bat,Right arm Medium, ,Rahul Ajay Tripathi,Rahul Ajay,
163,RD Chahar,Right hand Bat,Legbreak Googly, ,Rahul Desraj Chahar,Rahul Desraj,
186,S Nadeem,Right hand Bat,Slow Left arm Orthodox, ,Shahbaz Nadeem,Shahbaz Nadeem,
59,MK Pandey,Right hand Bat,Right arm Medium, ,Manish Krishnanand Pandey,Manish Krishnanand,
531,KS Williamson,Right hand Bat,Right arm Offbreak, ,Kane Stuart Williamson,Kane Stuart,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Kane%20Williamson.png
56,G Gambhir,Left hand Bat,Legbreak, ,Gautam Gambhir,Gautam Gambhir,https://documents.iplt20.com/playerheadshot/ipl/284/84.png
39,MK Tiwary,Right hand Bat,Legbreak Googly, ,Manoj Kumar Tiwary,Manoj Kumar,
68,M Vohra,Right hand Bat,Right arm Medium, ,Manan Vohra,Manan Vohra,
638,NB Singh,Right hand Bat,Right arm Medium, ,Nathu Bharat Singh,Nathu Bharat,
40,R Bhatia,Right hand Bat,Right arm Medium fast, ,Rajat Bhatia,Rajat Bhatia,
1233,SS Tiwary,Left hand Bat, , ,Saurabh Sunil Tiwary,Saurabh Sunil,
1396,MA Wood,Right hand Bat,Right arm Fast, ,Mark Andrew Wood,Mark Andrew,
47,SK Raina,Left hand Bat,Right arm Offbreak, ,Suresh Kumar Raina,Suresh Kumar,
1242,R Vinay Kumar,Right hand Bat,Right arm Medium, ,Ranganath Vinay Kumar,Ranganath Vinay,
541,SE Marsh,Left hand Bat,Slow Left arm Orthodox, ,Shaun Edward Marsh,Shaun Edward,https://cricclubs.com/documentsRep/profilePics/6c5d3a99-b18a-47b6-ba2e-5dae071b3452.png
6,Sachin Baby,Left hand Bat,Right arm Offbreak, ,Sachin Baby,Sachin Baby,https://www.espncricinfo.com/cricketers/sachin-baby-432783
525,J Yadav,Right hand Bat,Right arm Offbreak, ,Jayant Yadav,Jayant Yadav,https://www.espncricinfo.com/cricketers/jayant-yadav-447587
70,AR Patel,Left hand Bat,Slow Left arm Orthodox, ,Axar Rajeshbhai Patel,Axar Rajeshbhai,
63,PP Chawla,Left hand Bat,Legbreak, ,Piyush Pramod Chawla,Piyush Pramod,
30,HH Pandya,Right hand Bat,Right arm Medium fast, ,Hardik Himanshu Pandya,Hardik Himanshu,
36,SPD Smith,Right hand Bat,Legbreak Googly, ,Steven Peter Devereux Smith,Steven Peter,
55,S Kaushik,Right hand Bat,Left arm Wrist spin, ,Shivil Kaushik,Shivil Kaushik,
52,P Kumar,Right hand Bat,Right arm Medium, ,Praveenkumar Sakat Singh,Praveenkumar Sakat,
41,DL Chahar,Right hand Bat,Right arm Medium, ,Deepak Lokandersingh Chahar,Deepak Lokandersingh,
1429,K Khejroliya,Left hand Bat,Left arm Medium fast, ,Kulwant Khejroliya,Kulwant Khejroliya,https://www.espncricinfo.com/cricketers/kulwant-khejroliya-1083033
32,MJ McClenaghan,Left hand Bat,Left arm Fast medium, ,Mitchell John McClenaghan,Mitchell John,
457,AD Mathews,Right hand Bat,Right arm Medium, ,Angelo Davis Mathews,Angelo Davis,
1286,Avesh Khan,Right hand Bat,Right arm Fast medium, ,Avesh Khan,Avesh Khan,https://www.espncricinfo.com/cricketers/avesh-khan-694211
45,JJ Roy,Right hand Bat, , ,Jason Jonathan Roy,Jason Jonathan,
43,AB Dinda,Right hand Bat,Right arm Medium fast, ,Ashok Bhimchandra Dinda,Ashok Bhimchandra,
579,Shakib Al Hasan,Left hand Bat,Slow Left arm Orthodox, ,Shakib Al Hasan,Shakib Al,
1448,K Gowtham,Right hand Bat,Right arm Offbreak, ,Krishnappa Gowtham,Krishnappa Gowtham,
72,DA Miller,Left hand Bat,Right arm Offbreak, ,David Andrew Miller,David Andrew,
60,YK Pathan,Right hand Bat,Right arm Offbreak, ,Yusuf Khan Pathan,Yusuf Khan,
7,STR Binny,Right hand Bat,Right arm Medium, ,Stuart Terence Roger Binny,Stuart Terence,
3,TM Head,Left hand Bat,Right arm Offbreak,Wicketkeeper,Travis Michael Head,Travis Michael,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Travis%20Head.png
173,Iqbal Abdulla,Left hand Bat,Slow Left arm Orthodox, ,Sayed Iqbal Abdulla,Sayed Iqbal,
15,Yuvraj Singh,Left hand Bat,Slow Left arm Orthodox, ,Yuvraj Singh,Yuvraj Singh,
74,Swapnil Singh,Right hand Bat,Slow Left arm Orthodox, ,Swapnil Singh,Swapnil Singh,https://www.espncricinfo.com/cricketers/swapnil-singh-232292
760,MJ Guptill,Right hand Bat,Right arm Offbreak, ,Martin James Guptill,Martin James,
182,CH Morris,Right hand Bat,Right arm Fast medium, ,Christopher Henry Morris,Christopher Henry,
361,LH Ferguson,Right hand Bat,Right arm Fast, ,Lachlan Hammond Ferguson,Lachlan Hammond,
1285,HV Patel,Right hand Bat,Right arm Medium, ,Harshal Vikram Patel,Harshal Vikram,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Harshal%20Patel.png
1449,S Gopal,Right hand Bat,Legbreak, ,Shreyas Gopal,Shreyas Gopal,https://www.espncricinfo.com/cricketers/shreyas-gopal-344580
405,KC Cariappa,Right hand Bat,Legbreak, ,Konganda Charamanna Cariappa,Konganda Charamanna,
196,Basil Thampi,Right hand Bat,Right arm Fast medium, ,Basil Thampi,Basil Thampi,
744,AR Bawne,Right hand Bat,Right arm Offbreak, ,Ankit Ramdas Bawne,Ankit Ramdas,
676,KV Sharma,Left hand Bat,Legbreak Googly, ,Karn Vinod Sharma,Karn Vinod,
171,Vishnu Vinod,Right hand Bat, ,Wicketkeeper,Vishnu Vinod,Vishnu Vinod,https://www.espncricinfo.com/cricketers/vishnu-vinod-732293
332,V Kohli,Right hand Bat,Right arm Medium, ,Virat Kohli,Virat Kohli,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Virat%20Kohli.png
28,KH Pandya,Left hand Bat,Slow Left arm Orthodox, ,Krunal Himanshu Pandya,Krunal Himanshu,
448,AF Milne,Right hand Bat,Right arm Fast, ,Adam Fraser Milne,Adam Fraser,
20,B Kumar,Right hand Bat,Right arm Medium, ,Bhuvneshwar Kumar Singh,Bhuvneshwar Kumar,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Bhuvneshwar%20Kumar.png
347,Ishan Kishan,Left hand Bat, ,Wicketkeeper,Ishan Pranav Kumar Pandey Kishan,Ishan Pranav,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ishan%20Kishan.png
65,SP Narine,Left hand Bat,Right arm Offbreak, ,Sunil Philip Narine,Sunil Philip,
359,Ankit Sharma,Left hand Bat,Slow Left arm Orthodox, ,Ankit Nagendra Sharma,Ankit Nagendra,
187,Z Khan,Right hand Bat,Left arm Fast medium, ,Zaheer Khan,Zaheer Khan,
185,A Mishra,Right hand Bat,Legbreak, ,Amit Mishra,Amit Mishra,
726,Ankit Soni,Right hand Bat,Legbreak, ,Ankit Soni,Ankit Soni,
197,Tejas Baroka,Right hand Bat,Legbreak Googly, ,Tejas Baroka,Tejas Baroka,
5,SR Watson,Right hand Bat,Right arm Fast medium, ,Shane Robert Watson,Shane Robert,
460,Mohammed Shami,Right hand Bat,Right arm Fast, ,Mohammed Shami Ahmed,Mohammed Shami,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Mohammad%20Shami.png
351,AJ Tye,Right hand Bat,Right arm Medium fast, ,Andrew James Tye,Andrew James,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Andrew%20Tye.png
1393,DJ Bravo,Right hand Bat,Right arm Medium, ,Dwayne John Bravo,Dwayne John,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Dwayne%20Bravo.png
177,AP Tare,Right hand Bat, ,Wicketkeeper,Aditya Prakash Tare,Aditya Prakash,
7539,B Indrajith,Right hand Bat,Legbreak Googly, ,Baba Indrajith,Baba Indrajith,
4063,T Banton,Right hand Bat, ,Wicketkeeper,Tom Banton,Tom Banton,
6115,K Yadav,Left hand Bat,Left arm Fast medium, ,Kuldip Yadav,Kuldip Yadav,
3649,AS Roy,Left hand Bat,Slow Left arm Orthodox, ,Anukul Sudhakar Roy,Anukul Sudhakar,
5407,M Shahrukh Khan,Right hand Bat,Right arm Offbreak, ,Masood Shahrukh Khan,Masood Shahrukh,
4960,MR Marsh,Right hand Bat,Right arm Medium, ,Mitchell Ross Marsh,Mitchell Ross,
6761,R Shepherd,Right hand Bat,Right arm Fast medium, ,Romario Shepherd,Romario Shepherd,https://www.espncricinfo.com/cricketers/romario-shepherd-677077
8321,Rahmanullah Gurbaz,Right hand Bat, ,Wicketkeeper,Rahmanullah Gurbaz,Rahmanullah Gurbaz,https://www.espncricinfo.com/cricketers/rahmanullah-gurbaz-974087
7751,SA Abbott,Right hand Bat,Right arm Fast medium, ,Sean Anthony Abbott,Sean Anthony,
7302,OC McCoy,Left hand Bat,Left arm Fast medium, ,Obed  Christopher McCoy,Obed  Christopher,
4970,P Dubey,Right hand Bat,Legbreak Googly, ,Praveen Dubey,Praveen Dubey,
8355,Mukesh Kumar,Right hand Bat,Right arm Medium, ,Mukesh Kumar,Mukesh Kumar,https://www.espncricinfo.com/cricketers/mukesh-kumar-926851
3451,DW Steyn,Right hand Bat,Right arm Fast, ,Dale Willem Steyn,Dale Willem,
5411,RP Meredith,Right hand Bat,Right arm Fast, ,Riley Patrick Meredith,Riley Patrick,
4098,JO Holder,Right hand Bat,Right arm Medium fast, ,Jason Omar Holder,Jason Omar,
7895,R Sai Kishore,Left hand Bat,Slow Left arm Orthodox, ,Ravisrinivasan Sai Kishore,Ravisrinivasan Sai,
1805,RK Bhui,Right hand Bat,Legbreak Googly, ,Ricky Kannakumar Bhui,Ricky Kannakumar,
6054,AK Markram,Right hand Bat,Right arm Offbreak, ,Aiden Kyle Markram,Aiden Kyle,
6710,Akash Deep,Right hand Bat,Right arm Fast medium, ,Akash Deep,Akash Deep,https://www.espncricinfo.com/cricketers/akash-deep-1176959
5976,KS Bharat,Right hand Bat, ,Wicketkeeper,Kona Srikar Bharat,Kona Srikar,
6681,Tilak Varma,Left hand Bat,Right arm Offbreak, ,Namboori Thakur Tilak Varma,Namboori Thakur,
4119,RD Gaikwad,Right hand Bat,Right arm Offbreak, ,Ruturaj Dashrat Gaikwad,Ruturaj Dashrat,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ruturaj%20Gaikwad.png
6739,A Manohar,Right hand Bat,Legbreak Googly, ,Abhinav Manohar,Abhinav Manohar,https://www.espncricinfo.com/cricketers/abhinav-manohar-778963
7843,Fazalhaq Farooqi,Right hand Bat,Left arm Fast medium, ,Fazalhaq Farooqi,Fazalhaq Farooqi,https://www.espncricinfo.com/cricketers/fazalhaq-farooqi-974175
7083,KR Sen,Right hand Bat,Right arm Fast, ,Kuldeep Rampal Sen,Kuldeep Rampal,
3747,P Simran Singh,Right hand Bat, ,Wicketkeeper,Prabhsimran Singh,Prabhsimran Singh,https://www.espncricinfo.com/cricketers/prabhsimran-singh-1161024
5343,M Jansen,Right hand Bat,Left arm Medium fast, ,Marco Jansen,Marco Jansen,https://www.espncricinfo.com/cricketers/marco-jansen-696401
5629,FA Allen,Right hand Bat,Slow Left arm Orthodox, ,Fabian Anthony Allen,Fabian Anthony,
5935,Anuj Rawat,Left hand Bat, , ,Anuj Rawat,Anuj Rawat,https://www.espncricinfo.com/cricketers/anuj-rawat-1123073
7017,M Theekshana,Right hand Bat,Right arm Offbreak, ,Morawakage Maheesh Theekshana,Morawakage Maheesh,
1833,JC Archer,Right hand Bat,Right arm Fast, ,Jofra Chioke Archer,Jofra Chioke,
2142,DJ Willey,Left hand Bat,Left arm Fast medium, ,David Jonathan Willey,David Jonathan,
1849,PP Shaw,Right hand Bat,Right arm Offbreak, ,Prithvi Pankaj Shaw,Prithvi Pankaj,
6017,Umran Malik,Right hand Bat,Right arm Fast, ,Umran Malik,Umran Malik,
2295,SP Goswami,Left hand Bat, ,Wicketkeeper,Shreevats Pratyush Goswami,Shreevats Pratyush,
3156,HF Gurney,Right hand Bat,Left arm Fast medium, ,Harry Frederick Gurney,Harry Frederick,
2743,CA Ingram,Left hand Bat,Legbreak,Wicketkeeper,Colin Alexander Ingram,Colin Alexander,
6798,Mukesh Choudhary,Left hand Bat,Left arm Medium, ,Mukesh Choudhary,Mukesh Choudhary,https://www.espncricinfo.com/cricketers/mukesh-choudhary-1125688
3214,SD Lad,Right hand Bat,Right arm Offbreak, ,Siddhesh Dinesh Lad,Siddhesh Dinesh,
8305,J Little,Right hand Bat,Left arm Fast medium, ,Joshua Brian Little,Joshua Brian,
8007,M Pathirana,Right hand Bat,Right arm Fast, ,Matheesha Pathirana,Matheesha Pathirana,https://www.espncricinfo.com/cricketers/matheesha-pathirana-1194795
2701,S Dube,Left hand Bat,Right arm Medium, ,Shivam Dube,Shivam Dube,https://www.espncricinfo.com/cricketers/shivam-dube-714451
3145,S Midhun,Right hand Bat,Legbreak Googly, ,Sudhesan Midhun,Sudhesan Midhun,
2353,CJ Dala,Right hand Bat,Right arm Medium, ,Carl Junior Dala,Carl Junior,
6729,PVD Chameera,Right hand Bat,Right arm Fast, ,Pathira Vasan Dushmantha Chameera,Pathira Vasan,
4097,PK Garg,Right hand Bat,Right arm Medium, ,Priyam K Garg,Priyam K,
7192,Aman Hakim Khan,Right hand Bat,Right arm Medium, ,Aman Hakim Khan,Aman Hakim,
6734,MS Wade,Left hand Bat,Right arm Medium,Wicketkeeper,Matthew Scott Wade,Matthew Scott,
4310,Shahbaz Ahmed,Left hand Bat,Slow Left arm Orthodox, ,Shahbaz Ahmed,Shahbaz Ahmed,
4059,Ravi Bishnoi,Right hand Bat,Legbreak Googly, ,Ravi Bishnoi,Ravi Bishnoi,https://www.espncricinfo.com/cricketers/ravi-bishnoi-1175441
4134,KL Nagarkoti,Right hand Bat,Right arm Fast, ,Kamlesh Lachham Nagarkoti,Kamlesh Lachham,
4320,DR Sams,Right hand Bat,Left arm Fast medium, ,Daniel Richard Sams,Daniel Richard,
7496,DJ Mitchell,Right hand Bat,Right arm Medium, ,Daryl Joseph Mitchell,Daryl Joseph,
5422,C Sakariya,Left hand Bat,Left arm Medium fast, ,Chetan Sakariya,Chetan Sakariya,https://www.espncricinfo.com/cricketers/chetan-sakariya-1131754
2352,S Lamichhane,Right hand Bat,Legbreak Googly, ,Sandeep Lamichhane,Sandeep Lamichhane,
2910,GH Vihari,Right hand Bat,Right arm Offbreak, ,Gade Hanuma Vihari,Gade Hanuma,
8349,RR Rossouw,Left hand Bat,Right arm Offbreak, ,Rilee Roscoe Rossouw,Rilee Roscoe,
4664,JR Hazlewood,Left hand Bat,Right arm Fast medium, ,Josh Reginald Hazlewood,Josh Reginald,
8333,KR Mayers,Left hand Bat,Right arm Medium, ,Kyle Rico Mayers,Kyle Rico,
5573,LI Meriwala,Left hand Bat,Left arm Fast medium, ,Lukman Iqbal Meriwala,Lukman Iqbal,
2894,NS Naik,Right hand Bat, ,Wicketkeeper,Nikhil Shankar Naik,Nikhil Shankar,
8191,PN Mankad,Right hand Bat,Right arm Medium, ,Prerak Nileshkumar Mankad,Prerak Nileshkumar,
2349,Abhishek Sharma,Left hand Bat,Slow Left arm Orthodox, ,Abhishek Sharma,Abhishek Sharma,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Abhishek%20Sharma.png
7621,K Kartikeya,Right hand Bat,"Slow Left arm Orthodox, Left arm Wrist spin", ,Kumar Kartikeya Singh,Kumar Kartikeya,
6520,AU Rashid,Right hand Bat,Legbreak, ,Adil Usman Rashid,Adil Usman,
2825,CV Varun,Right hand Bat,Legbreak Googly, ,Varun Chakravarthy Vinod,Varun Chakravarthy,
4212,Kartik Tyagi,Right hand Bat,Right arm Fast, ,Kartik Tyagi,Kartik Tyagi,
4104,YBK Jaiswal,Left hand Bat,Legbreak, ,Yashasvi Bhupendra Kumar Jaiswal,Yashasvi Bhupendra,
6519,IC Porel,Right hand Bat,Right arm Medium, ,Ishan Chandranath Porel,Ishan Chandranath,
1740,H Klaasen,Right hand Bat,Right arm Offbreak,Wicketkeeper,Heinrich Klaasen,Heinrich Klaasen,https://www.espncricinfo.com/cricketers/heinrich-klaasen-436757
5526,Virat Singh,Left hand Bat,Legbreak Googly, ,Virat Binod Singh,Virat Binod,
5181,Monu Kumar,Right hand Bat,Right arm Medium, ,Monu Kumar Singh,Monu Kumar,
10135,N Burger,Left hand Bat,Left arm Fast medium,NULL,Nandre Burger,Nandre Burger,
10159,SH Johnson,Left hand Bat,Left arm Fast,NULL,Spencer Johnson,Spencer Johnson,https://www.espncricinfo.com/cricketers/spencer-johnson-1123718
10070,Sameer Rizvi,Right hand Bat,Right arm Offbreak,NULL,Sameer Rizvi,Sameer Rizvi,https://www.espncricinfo.com/cricketers/sameer-rizvi-1175489
10291,A Raghuvanshi,Right hand Bat,Slow Left arm Orthodox,NULL,Angkrish Raghuvanshi,Angkrish Raghuvanshi,https://www.espncricinfo.com/cricketers/angkrish-raghuvanshi-1292495
11192,AA Kulkarni,Right hand Bat,Right arm Medium,NULL,Arshin Kulkarni,Arshin Kulkarni,https://www.espncricinfo.com/cricketers/arshin-kulkarni-1403153
10169,SZ Mulani,Left hand Bat,Slow Left arm Orthodox,NULL,Shams Mulani,Shams Mulani,
11834,Prince Yadav,Right hand Bat,Right arm Fast,NULL,Prince Yadav,Prince Yadav,https://www.espncricinfo.com/cricketers/prince-yadav-1350768
11212,RJ Gleeson,Right hand Bat,Right arm Fast Medium,NULL,Richard Gleeson,Richard Gleeson,
11282,MJ Suthar,Left hand Bat,Slow Left arm Orthodox,NULL,Manav Suthar,Manav Suthar,https://www.espncricinfo.com/cricketers/manav-suthar-1175426
11366,A Kamboj,Right hand Bat,Right arm Medium,NULL,Anshul Kamboj,Anshul Kamboj,https://www.espncricinfo.com/cricketers/anshul-kamboj-1175428
11429,V Kaverappa,Right hand Bat,Right arm Fast medium,NULL,Vidhwath Kaverappa,Vidhwath Kaverappa,
10232,KT Maphaka,Left hand Bat,Left arm Fast,NULL,Kwena Maphaka,Kwena Maphaka,https://www.espncricinfo.com/cricketers/kwena-maphaka-1294342
8808,D Jansen,Right hand Bat,Left arm Fast,NULL,Duan Jansen,Duan Jansen,
10065,R Ravindra,Left hand Bat,Slow Left arm Orthodox,NULL,Rachin Ravindra,Rachin Ravindra,https://www.espncricinfo.com/cricketers/rachin-ravindra-959767
8389,Arshad Khan,Left hand Bat,Left arm Medium,NULL,Arshad Khan,Arshad Khan,
10083,Sumit Kumar,Right hand Bat,Right arm Medium fast,NULL,Sumit Kumar,Sumit Kumar,
10488,Saurav Chauhan,Left hand Bat,Right arm Offbreak,NULL,Saurav Chauhan,Saurav Chauhan,
11981,DL Vettori,Left hand Bat,Slow Left arm Orthodox, ,Daniel Luca Vettori,Daniel Luca,
9759,Sanvir Singh,Right hand Bat,Right arm Medium, ,Sanvir Singh,Sanvir Singh,
8769,Yudhvir Singh,Right hand Bat,Right arm Medium fast, ,Yudhvir Singh Charak,Yudhvir Singh,
8930,Liton Das,Right hand Bat,Right arm Offbreak,Wicketkeeper,Litton Kumer Das,Litton Kumer,
12015,WPUJC Vaas,Left hand Bat,Left arm Fast medium, ,Warnakulasuriya Patabendige Ushantha Joseph Chaminda Vaas,Warnakulasuriya Patabendige,
12013,AS Yadav,Right hand Bat,Right arm Offbreak, ,Arjun Shivlal Yadav,Arjun Shivlal,
12127,VRV Singh,Right hand Bat,Right arm Medium fast, ,Vikram Raj Vir Singh,Vikram Raj,
12016,RP Singh,Right hand Bat,Left arm Fast medium, ,Rudra Pratap Singh,Rudra Pratap,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/389100/389167.5.png"
11984,GD McGrath,Right hand Bat,Right arm Fast medium, ,Glenn Donald McGrath,Glenn Donald,
11982,MF Maharoof,Right hand Bat,Right arm Fast medium, ,Mohamed Farveez Maharoof,Mohamed Farveez,
12295,HH Gibbs,Right hand Bat,Right arm Bowler, ,Herschelle Herman Gibbs,Herschelle Herman,
11924,LR Shukla,Right hand Bat,Right arm Medium, ,Laxmi Ratan Shukla,Laxmi Ratan,
9524,Vivrant Sharma,Left hand Bat,Legbreak Googly, ,Vivrant Sharma,Vivrant Sharma,
8396,MG Bracewell,Left hand Bat,Right arm Offbreak,Wicketkeeper,Michael Gordon Bracewell,Michael Gordon,
11926,AB Agarkar,Right hand Bat,Right arm Fast, ,Ajit Bhalchandra Agarkar,Ajit Bhalchandra,
12012,SB Styris,Right hand Bat,Right arm Medium, ,Scott Bernard Styris,Scott Bernard,
8890,Naveen-ul-Haq,Right hand Bat,Right arm Medium fast, ,Naveen-ul-Haq Murid,Naveen-ul,
12318,BJ Hodge,Right hand Bat,Right arm Offbreak, ,Bradley John Hodge,Bradley John,
11996,S Chanderpaul,Left hand Bat,Legbreak, ,Shivnarine Chanderpaul,Shivnarine Chanderpaul,
8433,Abishek Porel,Left hand Bat, ,Wicketkeeper,Abishek Porel,Abishek Porel,https://www.espncricinfo.com/cricketers/abishek-porel-1277545
11963,T Kohli,Right hand Bat,Right arm Medium, ,Taruwar Sushil Kohli,Taruwar Sushil,
